gene_id	logFC	AveExpr	t	P.Value	adj.P.Val	B	regulation
ENSBIXG00005006990	1.899133517471589	7.120046250025746	6.031486773172757	7.83816334084454e-5	0.018191664553796463	1.6858355970793824	up
ENSBIXG00005018073	-1.8557380778835295	4.101484656440564	-5.911433727644	9.342700712260695e-5	0.020213487218984368	1.66063001645212	down
ENSBIXG00005007913	-7.8456010542915	1.3276721986133413	-6.477572226492238	4.152816651518193e-5	0.013950185409639404	1.6410454919036237	down
ENSBIXG00005019829	-2.1841719138057787	4.924830217479115	-5.917645641866492	9.257747863977237e-5	0.020213487218984368	1.6261111572289115	down
ENSBIXG00005013614	-1.4325129018572276	4.557002938873826	-5.878927894705789	9.800978996333807e-5	0.02035143841396271	1.5776111612758896	down
ENSBIXG00005023273	2.9741611650915556	4.313745917843597	5.805968844063987	1.091894838186295e-4	0.02212386922134612	1.5490443096050814	up
ENSBIXG00005021652	-2.3033651408238507	2.345227400903369	-5.714908249556415	1.2507899665210336e-4	0.02382964992371275	1.4741602512184757	down
ENSBIXG00005010700	-3.0165722417065637	1.8567057006041143	-5.715898581909354	1.2489354093350732e-4	0.02382964992371275	1.454181328628298	down
ENSBIXG00005016416	-6.954915568502158	-0.22128610563732098	-6.3150847975688675	5.2177018575169274e-5	0.01552759114946996	1.4509222528419325	down
ENSBIXG00005027457	-5.129660925453795	-1.0189031542951958	-6.417996564005667	4.513499465417045e-5	0.01463014008973744	1.4456874253744143	down
ENSBIXG00005010013	2.060613777424888	2.866913200270597	5.695315146224827	1.288089185065554e-4	0.02382964992371275	1.4373608545374426	up
ENSBIXG00005009277	2.350270360144142	3.1770839897447782	5.65640579688569	1.3657089898855442e-4	0.02455390881111123	1.3765478342403465	up
ENSBIXG00005006169	-1.3823488988700072	5.7496019462722465	-5.777243713272009	1.1395649772534635e-4	0.02272897958537572	1.3489370389581694	down
ENSBIXG00005001405	4.12782470749346	5.689289571493434	5.702979718300412	1.2733593804810535e-4	0.02382964992371275	1.3211858167768744	up
ENSBIXG00005024637	-5.969607633886432	-0.5014907263539575	-6.1860581583272625	6.27043729394142e-5	0.017030240863226007	1.2911868160493638	down
ENSBIXG00005030516	-7.665746619132049	1.037316161643711	-6.033109427074479	7.81968958087803e-5	0.018191664553796463	1.203346022357981	down
ENSBIXG00005003117	-2.784373573370097	1.7704090236577548	-5.547535013876517	1.6104799949907565e-4	0.027410369514742672	1.2027220538276975	down
ENSBIXG00005012399	-1.6753228531312718	6.273640610724192	-5.684045612904236	1.3100766659705055e-4	0.02389018377301929	1.1830345768635846	down
PB.38968	6.458581703050969	-0.48580731104845226	6.319993426572868	5.181576901367683e-5	0.01552759114946996	1.1737252464033974	up
ENSBIXG00005029593	-3.1623770119295163	1.9154785463196071	-5.511897685881941	1.700393933686805e-4	0.027539601151248132	1.1413541769112383	down
ENSBIXG00005031122	3.01585159795662	2.379193771499351	5.483426944980782	1.7760495173196577e-4	0.027539601151248132	1.139630205537987	up
ENSBIXG00005016714	1.4649312191826773	5.7727182337711085	5.62728761104685	1.4270401348507835e-4	0.025300232390792016	1.122569033491975	up
ENSBIXG00005006342	-3.233574886378005	2.1268933830963253	-5.456786149984767	1.850080271982403e-4	0.027539601151248132	1.1008817908654995	down
ENSBIXG00005014529	2.0346236596638865	3.2673955763169173	5.473892124695033	1.8021778394981854e-4	0.027539601151248132	1.090766784928456	up
ENSBIXG00005018260	1.895489330253696	3.3356864299569318	5.466896164619285	1.821607988213912e-4	0.027539601151248132	1.0678279474069914	up
