transcript_id	logFC	AveExpr	t	P.Value	adj.P.Val	B	regulation
PB.20615.2	-5.512650063117199	1.2348370726743376	-6.678064160689658	6.871898848230796e-5	0.04085864500335454	1.7002435540592185	down
PB.32432.15	3.1505113858373135	1.9103662480824632	6.299705900117818	1.0913071333112235e-4	0.04594403031240251	1.6887739822034487	up
PB.4692.50	6.572849883320125	-0.2485325031144232	7.2935368802994835	3.3604815664856436e-5	0.038126656877793645	1.6839631899687246	up
PB.36156.92	6.5448483756000355	-0.22804995405285297	7.227386572195735	3.621418070544367e-5	0.03877928009426764	1.6388736615764756	up
PB.14445.23	-6.203605453839057	-0.43144899212612037	-6.998763730032969	4.7075148510343894e-5	0.03943861499055935	1.635436143722072	down
PB.29663.88	-6.3547614933622185	-0.2850770814798604	-6.992168814491542	4.743693703161908e-5	0.03943861499055935	1.6339756566164283	down
PB.27455.10	7.707851170237583	1.4733367025113984	7.12551924886119	4.067359010038311e-5	0.03877928009426764	1.5918130044654157	up
PB.13806.25	3.1821731766524977	2.7412421578506865	6.229236834559136	1.1918768043872205e-4	0.04795488496282952	1.5680657159486806	up
ENSBIXT00005015038	-3.1640027280691445	1.5256082070011003	-6.196388978281103	1.2421455083227472e-4	0.04823890539091683	1.5513128915441357	down
PB.32079.2	-6.568956653300004	-0.27577678286846835	-6.869000673878323	5.4780068311756046e-5	0.03943861499055935	1.5439929141261661	down
PB.30102.19	-7.006374350336939	0.025368526649928985	-6.859391417268615	5.5402830736109164e-5	0.03943861499055935	1.5437637513223557	down
PB.25828.6	2.0748714286874375	2.7663488814769917	6.226231881843363	1.1963826452131836e-4	0.04795488496282952	1.5424808380282498	up
ENSBIXT00005026300	-6.628787716462581	-0.22132698741010146	-6.8644479218590755	5.5074172707296586e-5	0.03943861499055935	1.5416563327494686	down
ENSBIXT00005008594	2.8513337866688158	2.912272491520865	6.211609340958743	1.2185734516342059e-4	0.047982404869965946	1.537148499604637	up
PB.2484.13	-6.787537800550721	-0.06802927693529526	-6.85087566601188	5.596115454011113e-5	0.03943861499055935	1.5339409050681514	down
PB.5953.31	-6.350458410324881	-0.3776880771752942	-6.845984072633867	5.628462636997894e-5	0.03943861499055935	1.5220295229884924	down
PB.11238.77	6.3220276614614	-0.3468573204065382	7.042038621890714	4.477428175676993e-5	0.03943861499055935	1.5067936070205068	up
PB.14259.10	1.3604849970600892	6.3798013477080575	6.371010109418888	9.988296961962429e-5	0.044573774022453536	1.5052838646018527	up
PB.6540.1	2.6217054840268146	2.1348422598574026	6.155959844712573	1.30718870446065e-4	0.04905265084099272	1.504086230982983	up
PB.2253.60	7.56488699072673	0.24937532182839614	7.0040408690271905	4.678781126706755e-5	0.03943861499055935	1.4965215550674493	up
PB.30102.25	6.573056617234455	-0.24595178968430784	7.003878511798979	4.6796623050691345e-5	0.03943861499055935	1.4839150747213177	up
ENSBIXT00005045982	-6.557592984986144	0.626731311500914	-6.777346376327391	6.104420194339563e-5	0.04031332754839161	1.4825564950102734	down
PB.6828.21	2.8646873743069676	1.5623293976997041	6.12967116469538	1.3514540468994066e-4	0.049434416636830264	1.48017457786582	up
PB.27081.19	-2.71710409901897	2.6773350192029155	-6.160514068044773	1.2996808869470712e-4	0.04905265084099272	1.469582571975181	down
PB.15828.8	-2.4077404829057216	4.478285885121923	-6.250184029763004	1.1609728203825226e-4	0.04795488496282952	1.4667328799814232	down
PB.26108.60	-5.9110440670773645	-0.5122604572424712	-6.782138934003255	6.06980596449644e-5	0.04031332754839161	1.4629451327374836	down
PB.26486.11	-5.617277666132989	-0.6824818754825565	-6.770739093988731	6.152493134687312e-5	0.04031332754839161	1.4462663088037289	down
PB.29663.85	-4.515111087810007	1.35735548731555	-6.202023551452591	1.2333621098849188e-4	0.04823890539091683	1.4182004341710472	down
PB.13408.152	-7.07954580488969	-0.036950461124543775	-6.686218035225511	6.805077233187292e-5	0.04085864500335454	1.4081961457848706	down
PB.2236.20	-5.6546936620681025	-0.6929378347072169	-6.711383295539784	6.603253863505439e-5	0.04085864500335454	1.400634336653253	down
PB.13866.11	-6.013305456782845	-0.5039223521093364	-6.695441271959433	6.730340897507283e-5	0.04085864500335454	1.3967372054628306	down
PB.30102.3	-8.806904731672534	1.0049632524056977	-6.650651355731011	7.10182134271928e-5	0.04085864500335454	1.3963577161107192	down
PB.24629.17	-5.6926985369789875	-0.6298106265746102	-6.697801714429125	6.711357594598764e-5	0.04085864500335454	1.391030272245648	down
PB.38862.47	6.24309601427313	-0.36505016023480735	6.857826058738926	5.550500580504313e-5	0.03943861499055935	1.3732610225301798	up
PB.5092.63	7.285806808453771	0.06027485145732436	6.83707156534387	5.687922651535491e-5	0.03943861499055935	1.3724198140361867	up
PB.8526.38	-6.489287764612295	-0.2102219651553184	-6.603669749261611	7.515522832550803e-5	0.040900941698221	1.3325375402895947	down
PB.11287.301	8.190331304383692	0.67045899168821	6.765884601363437	6.188075101417542e-5	0.04031332754839161	1.3275990609567945	up
